,imdb_tconst,primary_title,imdb_orig_title,start_year,runtime_minutes,genres,imdb_avg_rating,imdb_numvotes,db_genre_ids,db_id_x,original_language,db_orig_title,db_popularity,release_date_x,db_vote_avg,db_vote_count,production_budget,domestic_gross,worldwide_gross
9916,tt1956516,How to Start a Revolution,How to Start a Revolution,2011,85.0,"Biography,Documentary,History",7.3,241.0,[99],97441,en,How to Start a Revolution,0.8909999999999999,2012-02-24,3.0,1, , , 
9917,tt1956594,Paul Williams Still Alive,Paul Williams Still Alive,2011,87.0,"Biography,Comedy,Documentary",6.9,835.0,"[10402, 99]",93087,en,Paul Williams Still Alive,1.382,2012-06-08,6.3,8, , , 
9918,tt1956620,Sex Tape,Sex Tape,2014,94.0,"Comedy,Romance",5.1,100520.0,[35],225886,en,Sex Tape,20.429000000000002,2014-07-18,5.3,2684,"$40,000,000","$38,543,473","$126,069,509"
9919,tt1956655,The Ganzfeld Haunting,The Ganzfeld Haunting,2014,87.0,"Horror,Thriller",3.2,605.0,"[27, 53]",100541,en,The Ganzfeld Haunting,4.026,2014-07-17,3.8,14, , , 
9920,tt1956665,The Pact,The Pact,2011,75.0,Comedy,7.2,12.0,[35],50290,en,The Pact,0.654,2010-09-20,4.0,2, , , 
9936,tt1956671,The Sacred Science,The Sacred Science,2011,77.0,"Adventure,Documentary,Drama",7.1,216.0,"[99, 12, 18]",197302,en,The Sacred Science,0.965,2011-05-26,5.4,4, , , 
9937,tt1957867,Christmas in Compton,Christmas in Compton,2012,93.0,Comedy,4.3,181.0,[35],135652,en,Christmas in Compton,0.9059999999999999,2012-11-09,4.0,2, , , 
9938,tt1957886,Delivery: The Beast Within,Delivery,2013,87.0,"Horror,Mystery,Thriller",5.3,1006.0,"[53, 27]",201426,en,Delivery: The Beast Within,2.115,2013-06-18,5.2,16, , , 
9939,tt1957938,Narcopolis,Narcopolis,2015,96.0,"Mystery,Sci-Fi,Thriller",4.4,1626.0,"[53, 9648, 878]",301228,en,Narcopolis,4.242,2015-10-02,4.8,42, , , 
9940,tt1957955,Low & Clear,Low & Clear,2012,81.0,"Documentary,Drama",7.3,77.0,[99],106739,en,Low & Clear,0.6,2012-03-01,6.0,2, , , 
9941,tt1958007,Roadside,Roadside,2013,90.0,"Drama,Horror,Mystery",3.8,361.0,"[27, 18]",308467,en,Roadside,0.746,2013-03-01,4.2,5,"$500,000",$0,$0
9942,tt1958043,The Houses October Built,The Houses October Built,2014,91.0,"Horror,Thriller",5.2,7145.0,"[27, 99]",322682,en,The Houses October Built,0.6,2011-11-19,6.0,6, , , 
9946,tt1958053,Changing Hearts,Changing Hearts,2012,89.0,Family,5.6,115.0,[10751],333493,en,Changing Hearts,0.6,2012-07-07,4.7,3, , , 
9947,tt1959332,American Mary,American Mary,2012,103.0,"Drama,Horror",6.3,20432.0,"[27, 53]",126277,en,American Mary,8.042,2012-05-31,6.0,250, , , 
9948,tt1959409,Imaginaerum,Imaginaerum,2012,86.0,"Drama,Fantasy,Musical",6.3,5733.0,"[14, 18]",75204,en,Imaginaerum,5.122999999999999,2013-05-28,5.8,81, , , 
9949,tt1959438,Kiss of the Damned,Kiss of the Damned,2012,97.0,"Drama,Horror,Romance",5.6,4319.0,"[53, 27, 10749]",139933,en,Kiss of the Damned,6.18,2013-05-03,5.1,66, , , 
9950,tt1959526,Buttwhistle,Buttwhistle,2014,93.0,"Comedy,Crime,Drama",4.3,231.0,"[9648, 10749, 35, 80, 18]",267428,en,Buttwhistle,1.778,2014-04-25,7.0,2, , , 
9951,tt1959550,The Beat Hotel,The Beat Hotel,2012,88.0,"Biography,Documentary,History",6.6,68.0,[99],105677,en,The Beat Hotel,0.6,2012-03-30,5.0,1, , , 
9952,tt1959563,The Hitman's Bodyguard,The Hitman's Bodyguard,2017,118.0,"Action,Comedy,Thriller",6.9,161764.0,"[28, 35]",390043,en,The Hitman's Bodyguard,21.46,2017-08-18,6.7,3017, , , 
